localTime,remoteTime,label,ibi,bpm,signalOK
1584780050946,1217474,,472,127,1
1584780051447,1217954,,468,127,1
1584780051947,1218474,,472,127,1
1584780052449,1218954,,464,127,1
1584780052949,1219474,,472,127,1
1584780053447,1219974,,464,127,1
1584780053946,1220454,,468,127,1
1584780054449,1220954,,470,127,1
1584780054963,1221474,,476,127,1
1584780055460,1221974,,476,127,1
1584780055946,1222454,,466,127,1
1584780056858,1222954,,468,127,1
1584780056950,1223454,,470,127,1
1584780057446,1223974,,476,127,1
1584780057947,1224454,,470,127,1
1584780058449,1224974,,468,127,1
1584780058946,1225454,,468,127,1
1584780059449,1225954,,468,127,1
1584780059948,1226474,,480,127,1
1584780060449,1226974,,466,127,1
1584780060950,1227474,,474,127,1
1584780061447,1227954,,468,127,1
1584780061949,1228454,,470,127,1
1584780062450,1228974,,476,127,1
1584780062947,1229454,,468,127,1
1584780063449,1229954,,472,127,1
1584780063949,1230454,,468,127,1
1584780064446,1230974,,478,127,1
1584780064949,1231454,,460,127,1
1584780065449,1231974,1,478,127,1
1584780065950,1232474,1,466,127,1
1584780066449,1232954,1,468,127,1
1584780066946,1233474,1,470,127,1
1584780067450,1233954,1,470,127,1
1584780067956,1234474,1,472,127,1
1584780068449,1234974,1,476,127,1
1584780068949,1235474,1,478,127,1
1584780069447,1235954,1,454,127,1
1584780069947,1236474,1,472,127,1
1584780070446,1236974,1,468,127,1
1584780070959,1237454,1,468,127,1
1584780071448,1237974,1,476,127,1
1584780071946,1238474,1,466,127,1
1584780072446,1238974,1,476,127,1
1584780072947,1239454,1,462,127,1
1584780073449,1239974,1,474,127,1
1584780073949,1240454,1,466,128,1
1584780074446,1240954,1,470,127,1
1584780074949,1241474,1,470,127,1
1584780075446,1241954,1,466,127,1
1584780075946,1242454,1,472,127,1
1584780076446,1242954,1,472,127,1
1584780076947,1243474,1,478,127,1
1584780077449,1243954,1,466,127,1
1584780077946,1244474,1,476,127,1
1584780078446,1244954,1,468,127,1
1584780078946,1245454,1,474,127,1
1584780079449,1245974,1,472,127,1
1584780079947,1246454,1,470,127,1
1584780080446,1246954,1,470,127,1
1584780080946,1247454,1,472,127,1
1584780081450,1247974,1,480,127,1
1584780081946,1248454,1,462,127,1
1584780082449,1248974,1,482,127,1
1584780082949,1249474,1,490,126,1
1584780083449,1249954,1,484,126,1
1584780083949,1250454,1,488,125,1
1584780084446,1250954,1,484,125,1
1584780084949,1251494,1,524,124,1
1584780085449,1251974,1,456,124,1
1584780085949,1252474,1,502,123,1
1584780086449,1252954,1,470,123,1
1584780086947,1253474,1,494,123,1
1584780087449,1253954,1,484,123,1
1584780087949,1254454,1,486,123,1
1584780088449,1254994,1,516,122,1
1584780088947,1255474,1,470,122,1
1584780089448,1255974,1,492,122,1
1584780089947,1256454,1,476,123,1
1584780090450,1256954,1,492,122,1
1584780090949,1257454,1,484,123,1
1584780091447,1257974,1,496,122,1
1584780091947,1258474,1,486,122,1
1584780092450,1258954,1,488,122,1
1584780092946,1259494,1,514,122,1
1584780093446,1259974,1,466,123,1
1584780093948,1260574,1,588,120,1
1584780094450,1260974,1,382,123,0
1584780094950,1261474,1,486,122,0
1584780095449,1261954,1,484,123,0
1584780095947,1262474,1,488,123,1
1584780096449,1262954,1,486,123,1
1584780096947,1263454,1,488,123,1
1584780097446,1263974,1,494,123,1
1584780097948,1264454,1,478,123,1
1584780098449,1264974,1,500,123,1
1584780098947,1265454,1,480,126,1
1584780099450,1265974,1,494,123,1
1584780099949,1266474,1,484,123,1
1584780100458,1266954,1,488,122,1
1584780100948,1267454,1,486,123,1
1584780101446,1267954,1,486,123,1
1584780101948,1268474,1,492,122,1
1584780102447,1268954,1,488,123,1
1584780102947,1269474,1,494,122,1
1584780103449,1269954,1,472,123,1
1584780103946,1270473,1,494,123,1
1584780104448,1270973,1,494,123,1
1584780104945,1271473,1,480,123,1
1584780105445,1271993,1,516,122,1
1584780105946,1272473,1,458,123,1
1584780106446,1272973,1,490,123,1
1584780106948,1273453,1,474,123,1
1584780107446,1273953,1,490,123,1
1584780107945,1274453,1,484,123,1
1584780108446,1274973,1,492,123,1
1584780108946,1275453,1,480,123,1
1584780109446,1275953,1,490,123,1
1584780109946,1276473,1,488,123,1
1584780110446,1276953,1,486,124,1
1584780110946,1277473,1,488,123,1
1584780111446,1277953,1,480,123,1
1584780111950,1278473,1,492,123,1
1584780112446,1278953,1,486,123,1
1584780112945,1279453,1,486,123,1
1584780113446,1279953,1,486,123,1
1584780113945,1280453,1,490,123,1
1584780114446,1280953,1,486,123,1
1584780114945,1281453,1,488,123,1
1584780115446,1281973,1,496,123,1
1584780115946,1282473,1,482,123,1
1584780116446,1282953,1,486,123,1
1584780116946,1283453,1,486,123,1
1584780117446,1283973,1,488,123,1
1584780117946,1284453,1,482,123,1
1584780118447,1284953,1,488,123,1
1584780118946,1285473,1,494,123,1
1584780119445,1285973,1,486,123,1
1584780119949,1286473,1,492,122,1
1584780120446,1286953,1,472,123,1
1584780120946,1287473,1,488,123,1
1584780121445,1287953,1,486,123,1
1584780121945,1288453,1,486,123,1
1584780122446,1288953,1,488,123,1
1584780122946,1289473,1,494,123,1
1584780123449,1289973,1,488,123,1
1584780123946,1290453,1,484,123,1
1584780124449,1290973,1,492,123,1
1584780124949,1291453,1,480,123,1
1584780125446,1291973,1,494,122,1
1584780125945,1292473,1,484,123,1
1584780126446,1292953,1,484,123,1
1584780126946,1293453,1,488,123,1
1584780127447,1293953,1,486,123,1
1584780127946,1294473,1,492,123,1
1584780128446,1294953,1,480,123,1
1584780128951,1295453,1,490,123,1
1584780129445,1295953,1,484,123,1
1584780129948,1296453,1,492,123,1
1584780130446,1296973,1,488,123,1
1584780130947,1297453,1,484,123,1
1584780131446,1297953,1,490,123,1
1584780131945,1298453,1,488,123,1
1584780132445,1298973,1,500,122,1
1584780132947,1299453,1,478,123,1
1584780133446,1299953,1,494,122,1
1584780133945,1300453,1,490,122,1
1584780134445,1300953,1,488,122,1
1584780134946,1301453,1,486,122,1
1584780135445,1301953,1,486,122,1
1584780135949,1302453,1,490,122,1
1584780136449,1302953,1,486,122,1
1584780136949,1303473,1,498,122,1
1584780137446,1303953,1,476,123,1
1584780137947,1304453,1,492,122,1
1584780138445,1304973,1,490,122,1
1584780138949,1305453,1,486,123,1
1584780139447,1305953,1,488,123,1
1584780139946,1306453,1,490,122,1
1584780140458,1307013,1,528,121,1
1584780140946,1307473,1,452,122,1
1584780141446,1307993,1,500,122,1
1584780141446,1308293,1,302,127,0
1584780142446,1308973,1,658,122,0
1584780142946,1309473,1,482,123,0
1584780143447,1309953,1,486,123,0
1584780143946,1310453,1,486,123,1
1584780144446,1310953,1,490,123,1
1584780144946,1311473,1,490,123,1
1584780145447,1311953,1,480,124,1
1584780145947,1312473,1,490,123,1
1584780146447,1312953,1,482,123,1
1584780146946,1313473,1,492,119,1
1584780147446,1313973,1,488,123,1
1584780147946,1314453,1,484,123,1
1584780148445,1314993,1,518,122,1
1584780148949,1315473,1,466,122,1
1584780149448,1315973,1,498,122,1
