localTime,remoteTime,label,eda,eda_filtered
1584780023511,991740,,4095,4095
1584780023511,991960,,4095,4095
1584780024010,992180,,4095,4095
1584780024010,992400,,4095,4095
1584780024010,992620,,4095,4095
1584780024511,992840,,4095,4095
1584780024511,993060,,4095,4095
1584780025010,993280,,4095,4095
1584780025010,993500,,4095,4095
1584780025511,993720,,4095,4095
1584780025511,993940,,4095,4095
1584780026011,994160,,4095,4095
1584780026011,994380,,4095,4095
1584780026011,994600,,4095,4095
1584780026510,994820,,4095,4095
1584780026510,995040,,4095,4095
1584780027010,995260,,4095,4095
1584780027010,995480,,4095,4095
1584780027510,995700,,4095,4095
1584780027510,995920,,4095,4095
1584780028010,996140,,4095,4095
1584780028010,996360,,4095,4095
1584780028010,996580,,4095,4095
1584780028511,996800,,4095,4095
1584780028511,997020,,4095,4095
1584780029011,997240,,4095,4095
1584780029011,997460,,4095,4095
1584780029510,997680,,4095,4095
1584780029510,997900,,4095,4095
1584780029510,998120,,4095,4095
1584780030010,998340,,4095,4095
1584780030010,998560,,4095,4095
1584780030511,998780,,4095,4095
1584780030511,999000,,4095,4095
1584780031010,999220,,4095,4095
1584780031010,999440,,4095,4095
1584780031510,999660,,4095,4095
1584780031510,999880,,4095,4095
1584780031510,1000100,,4095,4095
1584780032011,1000320,,4095,4095
1584780032011,1000540,,4095,4095
1584780032511,1000760,,4095,4095
1584780032511,1000980,,4095,4095
1584780033010,1001200,,4095,4095
1584780033010,1001420,,4095,4095
1584780033510,1001640,,4095,4095
1584780033510,1001860,,4095,4095
1584780033510,1002080,,4095,4095
1584780034011,1002300,,4095,4095
1584780034011,1002520,,4095,4095
1584780034510,1002740,,4095,4095
1584780034510,1002960,,4095,4095
1584780035010,1003180,,4095,4095
1584780035010,1003400,,4095,4095
1584780035010,1003620,,4095,4095
1584780035511,1003840,,4095,4095
1584780035511,1004060,,4095,4095
1584780036011,1004280,,4095,4095
1584780036011,1004500,,4095,4095
1584780036510,1004720,,4095,4095
1584780036510,1004940,,4095,4095
1584780037011,1005160,,4095,4095
1584780037011,1005380,,4095,4095
1584780037011,1005600,,4095,4095
1584780037511,1005820,,4095,4095
1584780037511,1006040,,4095,4095
1584780038010,1006260,,4095,4095
1584780038010,1006480,,4095,4095
1584780038511,1006700,,4095,4095
1584780038511,1006920,,4095,4095
1584780039011,1007140,,4095,4095
1584780039011,1007360,,4095,4095
1584780039011,1007580,,4095,4095
1584780039511,1007800,,4095,4095
1584780039511,1008020,,4095,4095
1584780040010,1008240,,4095,4095
1584780040010,1008460,,4095,4095
1584780040511,1008680,,4095,4095
1584780040511,1008900,,4095,4095
1584780040511,1009120,,4095,4095
1584780041011,1009340,,4095,4095
1584780041011,1009560,,4095,4095
1584780041510,1009780,,4095,4095
1584780041510,1010000,,4095,4095
1584780042011,1010220,,4095,4095
1584780042011,1010440,,4095,4095
1584780042510,1010660,,4095,4095
1584780042510,1010880,,4095,4095
1584780042510,1011100,,4095,4095
1584780043010,1011320,,4095,4095
1584780043010,1011540,,4095,4095
1584780043510,1011760,,4095,4095
1584780043510,1011980,,4095,4095
1584780044010,1012200,,4095,4095
1584780044010,1012420,,4095,4095
1584780044510,1012640,,4095,4095
1584780044510,1012860,,4095,4095
1584780044510,1013080,,4095,4095
1584780045011,1013300,,4095,4095
1584780045011,1013520,,4095,4095
1584780045510,1013740,,4095,4095
